Offre,Type_Activite,Cluster_Adresse,Adresse,Code_Postal,Commune,Code_Insee,Latitude,Longitude,Telephone,Mail,Url,Equipement,Animal_Accepte,Groupe_Accepte,Langue,Ouverture_Annee,Reservation_Possible
LES PIEDS SALÉS,,    7 place du Marché au Bois Mairie de Guérande,    Mairie de Guérande 7 place du Marché au bois,44350,GUERANDE,44069,47.32756,-2.42637,02 40 01 63 14,randoguerande@free.fr,http://www.randoguerande.fr,,,,,,non
LES PONEYS D'Ô VILLAGE,Activités sportives,  Parc des Floralies bd de la Petite Hollande  ,  Parc des Floralies bd de la Petite Hollande  ,85360,LA TRANCHE-SUR-MER,85294,46.3606551,-1.4564014,06 65 24 55 78,geraldine_fremit@bbox.fr,,,,,,,non
LES ROUES VERTES,Loueur de vélos##Rosalie,      La Parbrunière,    La Parbrunière  ,53300,SAINT-FRAIMBAULT-DE-PRIERES,53216,48.3555558,-0.5637291,06 15 56 56 72,,,Aire de pique nique,,,Français,oui,oui
LES P'TITS BATEAUX DU BAC,Base ou club nautique,    Bac de Pruillé  ,    Bac de Pruillé  ,49770,LONGUENEE-EN-ANJOU,49200,47.57955,-0.66139,02 41 32 67 29,pruille@longuenee-en-anjou.fr,http://www.longuenee-en-anjou.fr,Aire de pique nique,,oui,Anglais##Français,non,non
LES NANOUS,Centre équestre,      LA ROULIERE,      LA ROULIERE,85510,LE BOUPERE,85031,46.762121,-0.8968414,02 51 57 04 08,blanchetsophie@sfr.fr,http://www.les-nanous.com,Toilettes,,oui,Français,non,non
LES ONDINES,Salle de spectacle,Place d'Elva      ,Place d'Elva      ,53810,CHANGE,53054,48.098688,-0.788908,02 43 53 34 42,,http://www.lesondines.org/index.php,,,,,,oui
LES MONTGOLFIÈRES DE VENDÉE,Activités sportives,    642 Route de La Roche-sur-Yon LD - La Barre,    642 Route de La Roche-sur-Yon LD - La Barre,85310,RIVES DE L'YON,85213,46.6188663,-1.3610974,07 82 02 10 50,,http://montgolfiere85.jimdo.com/,,,,,,non
LES MINIS MH ET ECURIES VERRINOISES,,"    9, rue des Caves  ","    9, rue des Caves  ",49400,VERRIE,49370,47.26806,-0.18928,06 10 68 44 77,,http://les-minis-saumur.weebly.com,,,,,,non
LES ONDINES ,,Place Christian d'Elva      ,Place Christian d'Elva      ,53810,CHANGE,53054,48.098688,-0.788908,02 43 53 34 42,culture@mairie-change.fr,http://culture-change53.fr/,,,,,,non
LES ESCAPADES DU MEUGON,,    3 B Avort Louerre,    3 B Avort Louerre,49700,TUFFALUN,49003,47.31116,-0.27173,09 72 80 79 75,escapades-du-meugon@orange.fr,http://www.escapadesdumeugon.com,,,oui,Français,,non
LES ECURIES DU LANDAL,Centre équestre,    Le Landal  ,    Le Landal  ,44170,JANS,44076,47.6333223,-1.635551,06 22 83 37 59,landal@orange.fr,https://www.facebook.com/Les-Ecuries-Du-Landal-456211637915511,,oui,,Anglais,oui,non
LES MARAIS SALANTS DE L'ILE D'OLONNE ,Observatoire##Parc à thèmes,    Route départementale D87  ,    Route départementale D87  ,85340,L'ILE-D'OLONNE,85112,46.558535,-1.788239,06 71 52 66 10,contact@lasalorge.fr,https://lasalorge.fr/,,,,,non,non
"LES ROUES VERTES - LOCATION DE ROSALIES, TANDEMS ET VELOS",Activités sportives,      La Parbrunière,      La Parbrunière,53300,SAINT-FRAIMBAULT-DE-PRIERES,53216,48.3555558,-0.5637291,06 15 56 56 72,,,,,oui,Français,oui,oui
LES ECURIES DU BOIS DE LA TOUCHE,Activités sportives,    La Rigordière  ,    La Rigordière  ,85470,BREM-SUR-MER,85243,46.5948459,-1.824619,07 70 10 88 85,ecurieduboisdelatouche@live.fr,http://www.facebook.com/boisde.latouche,,,,,oui,non
LES ECURIES DES QUATRE VENTS,Centre équestre,    Chemin du Moulin des Landes  ,    Chemin du Moulin des Landes  ,49700,TUFFALUN,49003,47.26008,-0.33909,06 08 88 99 60,lesecuriesdesquatrevents@yahoo.fr,http://lesecuriesdesquatrevents49.ffe.com,,,oui,Anglais##Français,,non
LES ECURIES DU LOUP,Centre équestre,    La Bouchardière  ,    La Bouchardière  ,53290,SAINT-LOUP-DU-DORAT,53233,47.887791,-0.426648,02 43 06 10 51,lesecuriesduloup@hotmail.fr,http://www.ecuriesduloup.fr,,oui,oui,Anglais##Français,oui,oui
LES ECURIES DU BEUVRON,Activités sportives,    Parc de la Morinière  ,    Parc de la Morinière  ,49600,BEAUPREAU-EN-MAUGES,49023,47.170425,-0.962065,02.41.56.56.39,,,,non,oui,,,oui
LES ECURIES DE SOBIDAIN,Activités sportives,    Sobidain  ,    Sobidain  ,44390,NORT-SUR-ERDRE,44110,47.4165,-1.538653,02 51 12 66 52,0612455591@sfr.fr,,,,,,oui,non
LES ECURIES DE RETZ,Activités sportives,      Le Champ Blanc - Bourgneuf-en-Retz,    Le Champ Blanc Bourgneuf-en-Retz,44580,VILLENEUVE-EN-RETZ,44021,47.056817,-1.912156,02 40 21 99 53,ecuriesderetz@yahoo.fr,,,,,,,non
LES ECURIES DU BEUVRON,Centre équestre,    Parc de la Morinière  ,    Parc de la Morinière  ,49600,BEAUPREAU-EN-MAUGES,49023,47.170425,-0.962065,02.41.56.56.39,lesecuriesdubeuvron@orange.fr,,,,,,oui,oui
LES SALINES CANOËS - PADDLES LOISIRS,Activités sportives,    120 route de l'Aubraie  ,    120 route de l'Aubraie  ,85100,LES SABLES-D'OLONNE,85194,46.518713,-1.807079,02 51 21 01 19,lessalines@wanadoo.fr,http://www.lessalines.fr,,oui,,Anglais,non,non
LES ECURIES DE CASSINELLE,Centre équestre,    10 Rue du Port Vieux  ,    10 Rue du Port Vieux  ,85770,VIX,85303,46.364304,-0.8588009,06 13 90 54 83,syndieroy@neuf.fr,www.ecuriesdecassinelle.fr,,,,,oui,oui
LES ECURIES DE BAUGÉ,Activités sportives,    bel air Baugé,    bel air Baugé,49150,BAUGE-EN-ANJOU,49018,47.5457962,-0.1315093,06 09 31 71 87,ecuriesdebauge@live.fr,http://www.ecuriesdebauge.fr,,,,,oui,non
ONCLE SAM,Bar à thème,    48 Rue du Président De Gaulle  ,    48 Rue du Président De Gaulle  ,85400,LUCON,85128,46.4556876,-1.1721109,02 51 29 01 76,,,,,,,oui,non
LES ECURIES DE VAUNAVAL,Activités sportives,    Ménagerie  ,    Ménagerie  ,72800,LE LUDE,72176,47.6524862,0.167422,06.79.92.79.40,axelcoutte@hotmail.fr,http://www.ecuries-vaunaval.ffe.com,,oui,oui,Anglais##Français,oui,non
LES ECURIES D'ESKAME,Centre équestre,      5 Le Petit Pay,      5 Le Petit Pay,85190,BEAULIEU-SOUS-LA-ROCHE,85016,46.7113878,-1.6229332,06 30 18 72 40,contact@les-ecuries-deskame.fr,http://www.les-ecuries-deskame.fr/,,,,Français,oui,oui
LES CYCLES DES OLONNES,Loueur de vélos,    7 Cours Dupont  ,    7 Cours Dupont  ,85100,LES SABLES-D'OLONNE,85194,46.49722,-1.781678,02 51 32 03 48,guy.marlin@wanadoo.fr,http://www.lescyclesdesolonnes.fr,,,,,oui,non
LES ECURIES DE L'HORIZON,Centre équestre,    Le Tenlay  ,    Le Tenlay  ,44710,PORT-SAINT-PERE,44133,47.147615,-1.764033,06 71 62 72 66,ecuriesdelhorizon@orange.fr,http://www.ecuries-horizon.com,,,,,,non
LES ECURIES DE L'ILOT,Centre équestre,    195 Route des 4 Moulins  ,    195 Route des 4 Moulins  ,85300,SALLERTAINE,85280,46.8682952,-1.948633,09 81 82 20 97,lesecuriesdelilot@bbox.fr,http://www.lesecuriesdelilot.fr/,,,,,oui,non
LES CRINS VERTS,Centre équestre,      La Grange,      La Grange,85480,FOUGERE,85093,46.6663726,-1.2540361,06 50 82 38 46,information@lescrinsverts.com,http://www.lescrinsverts.com/,Aire de pique nique##Toilettes,oui,oui,Anglais##Français,oui,non
MUR D'ESCALADE,Mur d'escalade,    Etang du Val Saint-Martin  ,    Etang du Val Saint-Martin  ,44210,PORNIC,44131,47.11672,-2.13579,,,,Aire de pique nique,,,,,non
LES ECURIES D'HEKIMA,Centre équestre,    Les Rosières Trévedais,    Les Rosières Trévedais,44350,GUERANDE,44069,47.30652,-2.38192,06 62 33 37 20,camillebiet@gmail.com,http://www.hekimatraining.fr,,oui,,Anglais,,non
LES CERFS DE LA FARDELLIERE,Zoo - parc animalier,      La Fardellière,      La Fardellière,49670,CHEMILLE-EN-ANJOU,49092,47.1984179,-0.596074,02 41 45 41 01,lescerfsdelafardelliere@yahoo.fr,,Restaurant,non,oui,Français,oui,oui
LES CANALOUS - LOCATION DE BATEAUX À LA JOURNÉE,Base ou club nautique,    Le Port  ,      Le Port,49220,CHENILLE-CHAMPTEUSSE,49067,47.7006365,-0.6677837,02 41 95 10 83,chenillechange49@gmail.com,http://www.canalous-plaisance.fr,,oui,oui,Allemand##Anglais##Espagnol##Français,oui,oui
CHRIS CLUB,Discothèque bar de nuit,      La Gare,    La Gare  ,72430,AVOISE,72021,47.872565,-0.2055866,02 43 95 22 73,,,,,oui,Français,oui,non
CIE FARCE AU PUBLIC,Activités culturelles,       ,       ,49120,CHEMILLE-EN-ANJOU,49092,47.2100819,-0.7274078,06 81 76 12 48,wilfrid-renaud@orange.fr,,,,,,,non
LES CANALOUS LOCATION DE BATEAUX SANS PERMIS,Bateaux promenade,    Le Port  ,    Le port  ,53200,DAON,53089,47.7496683,-0.6424151,02 43 06 90 31,daon@lescanalous.com,http://www.canalous-mayenne.com,,,,Français,,oui
LES CALÈCHES BRIÉRONNES,Barque/Chaland##Calèche,    Port de Bréca  ,    Port de Bréca  ,44410,SAINT-LYPHARD,44175,47.36091,-2.31351,02 40 91 32 02,caleches.brieronnes@wanadoo.fr,http://calechesbrieronnes.free.fr,Aire de pique nique,oui,,Anglais,oui,non
LES ENFANTS DE CHOLET,Salle de remise en forme,    48 rue des Bons Enfants  ,    48 rue des Bons Enfants  ,49300,CHOLET,49099,47.06502,-0.87675,02 41 75 54 91,,http://enfcholetgym.free.fr,,,,Français,,non
LES CANOES DU MARAIS,Activités sportives,"    103, Route des Sables  ","    103, Route des Sables  ",85800,GIVRAND,85100,46.6828646,-1.922314,06.07.11.37.59,lescanoesdumarais@gmail.com,http://www.les-canoes-du-marais.com,,oui,oui,Anglais##Espagnol##Français,non,non
LES CANALOUS MAYENNE,Formules itinérantes,    Le Port  ,    Le Port  ,53200,DAON,53089,47.7495591,-0.6420017,03 85 53 76 74,daon@lescanalous.com,www.canalous-mayenne.com,,oui,non,Anglais,,oui
LES ATTELAGES DES ROSEAUX DE CALLAC,,    Les Roseaux de Callac  ,    Les Roseaux de Callac  ,44290,GUEMENE-PENFAO,44067,47.6096448,-1.8241229,02 40 51 12 36,mic.debarre@wanadoo.fr,,,,,,,non
LES CANALOUS,Formules itinérantes,    Le Port  ,      Le Port,72210,LA SUZE-SUR-SARTHE,72346,47.888807,0.032527,03 85 53 76 74,commercial@lescanalous.fr,http://www.canalous-plaisance.fr/,,oui,,Anglais##Espagnol##Français,non,oui
LES AMIS DES SITES DE MESQUER,,    mairie de Mesquer place de l'hotel de ville,    mairie de Mesquer place de l'hotel de ville,44420,MESQUER,44097,47.40569,-2.46251,07 81 73 21 51,contact@amisdessites.fr,http://www.amisdessites.fr,,,,,,non
LES ATTELAGES DE LA FORET,Activités sportives,    Lieu-dit La Ménagerie La Fresnaye sur Chédouet,    Lieu-dit La Ménagerie La Fresnaye sur Chédouet,72600,VILLENEUVE-EN-PERSEIGNE,72137,48.436062,0.266537,06 47 62 51 28,,,,,oui,Français,oui,oui
LES AILES DU MAINE PLANEUR,Activités sportives,      Aérodrome,      Aérodrome,72100,LE MANS,72181,47.9465184,0.19683722,02 43 78 24 87,lemansplaneurs@gmail.com,http://lemansplaneurs.free.fr,,oui,oui,Anglais,,non
LES AILES DU MAINE PLANEUR,Aérodrome,      Aérodrome,      Aérodrome,72100,LE MANS,72181,47.9466491,0.1965915,02 43 78 24 87,lemansplaneurs@gmail.com,http://lemansplaneurs.free.fr,,,,Anglais,oui,non
LES AILES DU MAINE AVION,Aérodrome,      Aérodrome Le Mans Arnage,      Aérodrome Le Mans Arnage,72100,LE MANS,72181,47.9487031,0.1992834,02 43 84 10 23,admavion72@gmail.com,http://www.adm-avion.com,Bar##Toilettes,,,Français,oui,non
LES ARCADES ROUGÉ,,    30 rue Bretonnaise  ,    30 rue Bretonnaise  ,49300,CHOLET,49099,47.06053,-0.8833,02 41 65 00 32,contact@les-arcades-rouge.fr,,,,,Français,,non
LES ETANGS DES CHÊNES,Lac de pêche,La Morinière      ,La Morinière      ,53940,SAINT-BERTHEVIN,53201,48.0990911,-0.8580977,06.33.36.36.07,contact@etangsdeschenes.com,http://www.etangsdeschenes.com,,,,,,non
LES AILES DU MAINE AVION,Activités sportives,      Aérodrome,      Aérodrome,72000,LE MANS,72181,47.9465457,0.19640742,02 43 84 10 23,admavion72@gmail.com,www.adm-avion.com,,non,oui,Anglais,,non
LES AMIS DE LA PÉTANQUE CASTELOLONNAISE,Boulodrome,    Stade des Nouettes avenue Condorcet,    Stade des Nouettes avenue Condorcet,85180,CHATEAU-D'OLONNE,85060,46.478403,-1.741633,06 02 60 95 49,lesbousbous85@orange.fr,,,non,,,oui,non
MARAIS SALANT DE BÉNÉDICTE LERMON,,       ,       ,85680,LA GUERINIERE,85106,47.75775,0.18083,06 19 39 39 09,,,,,,,,non
LES ANGENOISES ,,55 rue du Maine      ,55 rue du Maine      ,53960,BONCHAMP-LES-LAVAL,53034,48.0753122,-0.7000408,02 43 91 45 10,manuelachoisnet@wanadoo.fr,http://www.lesangenoises.fr ,,,,,,non
LE VIP,Salle de spectacle,    Boulevard de la Légion d'Honneur Alvéole 14 - Base sous-marine,    Boulevard de la Légion d'Honneur Alvéole 14 - Base sous-marine,44600,SAINT-NAZAIRE,44184,47.274961,-2.2035268,02 40 22 43 05,,,Bar##Toilettes,,,,,oui
LEFEUVRE-LAIGNEL,,    8 av. de Damas  ,    8 av. de Damas  ,44380,PORNICHET,44132,47.24819,-2.32093,06 83 59 83 92,nlefeuvre-laignel@wanadoo.fr,http://www.nicolelefeuvre-developpementpersonnel.fr,,,,,,non
MARAIS SALANT CHESSE,,       ,       ,85330,NOIRMOUTIER-EN-L'ILE,85163,47.00304,-2.25596,06 15 67 23 59,,,,,,,,non
LE VELOO DE LA FORÊT,Loueur de vélos,    19 rue de la Forêt  ,    19 rue de la Forêt  ,85340,OLONNE-SUR-MER,85166,46.504178,-1.788427,06 10 52 42 59,contact@veloodelaforet.fr,http://www.veloodelaforet.fr ,,,,Anglais,oui,non
LES POISSONS CLOWS - CENTRE MULTI-ACCUEIL,,    2 A rue des Sableaux  ,    2 A rue des Sableaux  ,85330,NOIRMOUTIER-EN-L'ILE,85163,47.00026,-2.22702,02 28 10 38 38,,,,,,,,non
LES 3 CHÊNES ,,Maison de Pays      ,Maison de Pays      ,53320,LOIRON-RUILLE,53137,48.069749,-0.93363,02 43 10 25 80,culture@cc-paysdeloiron.fr,http://www.guichetnet.fr/loiron/index.html,,,,,,non
LES ECURIES DU PAYS DE PALLUAU,,    l'Epinasse  ,    l'Epinasse  ,85670,SAINT-ETIENNE-DU-BOIS,85210,46.81288,-1.58776,06 25 53 92 23,helene.gremeaux@laposte.net,,,,,,,non
LE VELOO DE LA FORÊT,Loueur de vélos,"  Port Olona quai A. Gerbaud,  près de la capitainerie","  Port Olona quai A. Gerbaud,  près de la capitainerie",85100,LES SABLES-D'OLONNE,85194,46.500067,-1.795929,06 10 52 42 59,contact@veloodelaforet.fr,http://www.veloodelaforet.fr ,,,,Anglais,oui,non
MARAIS SALANT DE BONNE POGNE,,    Route de la Guérinière  ,    Route de la Guérinière  ,85330,NOIRMOUTIER-EN-L'ILE,85163,46.98306,-2.26147,02 51 39 96 63,,,,,,,,non
LE SPA MARIN (CÔTE OUEST - THALASSO ET SPA),Piscine##Salle de remise en forme##Thalassothérapie,    Lac de Tanchet Route du Tour de France,    Lac de Tanchet Route du Tour de France,85100,LES SABLES-D'OLONNE,85194,46.48288,-1.7597,02 51 21 77 93,h1078@accor.com,http://www.hotel-coteouest.com,Restaurant,non,,Anglais,oui,non
LE THEATRE - SCENE NATIONALE,Salle de spectacle,    rue des Frères Pereire BP 150,    rue des Frères Pereire BP 150,44603,SAINT-NAZAIRE,44184,47.2734979,-2.213848,02 40 22 91 36,,www.letheatre-saintnazaire.fr,Toilettes,non,,,non,oui
MOJITO ROYAL,Bar à thème,    3 rue du Rempart  ,    3 rue du Rempart  ,72000,LE MANS,72181,48.0079268,0.197701,06 84 34 09 92,,,,,,,,non
LEROUX MAGALI SOPHROLOGUE,,    1 la Brionnière  ,    1 la Brionnière  ,44160,CROSSAC,44050,47.40735,-2.13805,06 77 13 02 81,magali.leroux@orange.fr,http://magalileroux.wix.com/sophrologie,,,,,,non
LE TEMPS D'UN SPA,Balnéothérapie et Spa,    30 avenue du Bois d'Amour  ,    30 avenue du Bois d'Amour  ,44500,LA BAULE-ESCOUBLAC,44055,47.28759,-2.38208,02 40 60 77 14,contact@letempsdunspa.fr,http://www.letempsdunspa.fr,,,,Anglais,,non
LE SAVON DE NOIRMOUTIER - SAVONNERIE ARTISANALE,,       ,       ,85680,LA GUERINIERE,85106,46.97189,-2.24204,06 69 06 32 18,lesavondenoirmoutier@outlook.fr,http://www.lesavondenoirmoutier.com,,,oui,,,non
LES JARDINS DE LA BOULOGNE,Aire de pique-nique,    Rue du Rivage  ,    Rue du Rivage  ,85620,ROCHESERVIERE,85190,46.9353938,-1.5138871,,,,Aire de pique nique##Toilettes,,,,oui,non
LE QUAI VERT - LE PAPILLONNEUR,Activités sportives,  Le Quai Vert Route des carris Le Migron,  Le Quai Vert Route des carris Le Migron,44320,FROSSAY,44061,47.2588722,-1.9155554,02 28 53 51 62,contact@quai-vert.com,http://www.quai-vert.com,,oui,oui,Anglais##Français,oui,oui
LE TROIS MÂTS,Salle de spectacle,    Place des Justices BP 51445,    Place des Justices BP 51445,49000,ANGERS,49007,47.4529,-0.52649,02 41 66 02 02,,http://www.letroismats.fr/,,,,,,non
"LE QUAI VERT - CIRCUITS DÉCOUVERTES ""PHOTOROUTE""",Formules itinérantes,    Route des Carris Le Migron,    Route des Carris Le Migron,44320,FROSSAY,44061,47.2587805,-1.915579,02 28 53 51 62,,http://www.quai-vert.com,,non,oui,Anglais##Espagnol##Français,oui,oui
LE VIP CLUB PRIVÉ,Discothèque bar de nuit,  Zone d'activité La Landette 19 rue gutenberg  ,  Zone d'activité La Landette 19 rue gutenberg  ,85190,VENANSAULT,85300,46.6542658,-1.512361,02 51 09 24 95,,http://www.levipclubprive.com/,,,,,,non
LE QUAI VERT - L'INCROYABLE JARDIN DU MIGRON,Activités culturelles,    Route des Carris Le Migron,    Route des Carris Le Migron,44320,FROSSAY,44061,47.255227,-1.916373,02 28 53 51 62,contact@quai-vert.com,http://www.quai-vert.com,,oui,oui,Anglais##Espagnol##Français,oui,non
LE VEL'HOP - LOCATION DE VÉLOS,Loueur de vélos,    55 avenue Joseph Pineau  ,    55 avenue Joseph Pineau  ,85330,NOIRMOUTIER-EN-L'ILE,85163,47.00441,-2.24192,02 51 39 01 34,contact@cyclhop.fr,http://www.cyclhop.fr,,,,,,non
LE RAYON VERT,Loueur de vélos,    4 rue de la République  ,    4 rue de la République  ,85350,L'ILE-D'YEU,85113,46.7257947,-2.3505262,02 51 58 30 30,lerayon.vert@orange.fr,,,,,Anglais##Espagnol,,non
LE THÉÂTRE - SCÈNE CONVENTIONNÉE DE LAVAL ,,34 rue de la Paix      ,34 rue de la Paix      ,53000,LAVAL,53130,48.0707119,-0.7674041,02 43 49 86 30,letheatre@laval.fr,http://letheatre.laval.fr,,,,,,non
LE PÔLE EQUESTRE MORTAGNAIS,Activités sportives,    La Challoire Evrunes,    La Challoire Evrunes,85290,MORTAGNE-SUR-SEVRE,85151,47.0123876,-1.0020868,06 14 45 93 46,ce.mortagnais@gmail.com,http://mortagnais.equestre.free.fr ,,,,,oui,non
LE PUB - BAR BRASSERIE/DISCOTHÈQUE,,       ,       ,85330,NOIRMOUTIER-EN-L'ILE,85163,46.99974,-2.24335,02 51 39 48 49,fabrice.dautier@wanadoo.fr,,,,,,,non
LE PRÉ DANSEUR,Centre équestre,  Derrière le Musée Automobile   L'Anedret,  Derrière le Musée Automobile   L'Anedret,85440,TALMONT-SAINT-HILAIRE,85288,46.490696,-1.669931,06 83 25 56 79,predanseur@wanadoo.fr,http://www.lepredanseur.fr,,oui,oui,Anglais##Français,oui,oui
LE QUAI DES ARTS,Salle de spectacle,      La Gare,      La Gare,72320,VIBRAYE,72373,48.064733,0.72739789,02 43 60 76 89,otvaldebraye@wanadoo.fr,http://www.vibraye.fr/vieculturelle/la-salle-de-spectacle-le-quai-des-arts/,,,,,oui,oui
LE PETIT TRAIN TOURISTIQUE,,    Place Kennedy Centre historique,    Place Kennedy Centre historique,49100,ANGERS,49007,47.47842,-0.56317,02 41 23 50 00 - 06 63 18 45 6,resa.tga@gmail.com,,,,oui,Anglais##Français,,non
LE THEATRE,Salle de spectacle,34 rue de la Paix      ,34 rue de la Paix      ,53000,LAVAL,53130,48.0785146,-0.7669906,02 43 49 19 55,,http://www.letheatre.laval.fr,,,,,,oui
LES ECURIES DE LESSAC,,    Lessac Route de Saint André,    Lessac Route de Saint André,44350,GUERANDE,44069,47.32279,-2.36858,02 40 62 06 29,,http://www.lessac.com/,,,,,,non
LE PETIT TRAIN TOURISTIQUE ,Formules itinérantes,Gare routiere    Rue de Verdun   ,Gare routiere    Rue de Verdun   ,53000,LAVAL,53130,48.0785146,-0.7669906,02 43 49 46 46,office.tourisme@agglo-laval.fr,,,,,,,non
LE PARADIS DE LA CHARNIE,Activités culturelles,    Lieu-dit Le Patisseau  ,    Lieu-dit Le Patisseau  ,72240,SAINT-SYMPHORIEN,72321,48.0666438,-0.1662942,02 43 14 84 78,,http://alpaga.paradischarnie.com/,,non,oui,Français,non,oui
LE PETIT TRAIN DE L'ÎLE D'YEU,Trains touristiques,    24 rue de la Vigne à la Croix  ,    24 rue de la Vigne à la Croix  ,85350,L'ILE-D'YEU,85113,46.7195486,-2.3631353,06 07 99 91 92,contact@petittrain-iledyeu.fr,http://www.petittrain-iledyeu.fr,,,oui,,,non
LE VELOO DE LA FORÊT,Loueur de vélos,    Parking du puits d’Enfer 100 boulevard De Lattre de Tassigny,    Parking du puits d’Enfer 100 boulevard De Lattre de Tassigny,85180,CHATEAU-D'OLONNE,85060,46.500067,-1.795929,06 10 52 42 59,contact@veloodelaforet.fr,http://www.veloodelaforet.fr ,,,,Anglais,oui,non
LE SECRET DES PAPILLES,,    1 rue René Brémont  ,    1 rue René Brémont  ,49000,ANGERS,49007,47.46622,-0.55933,06 60 19 65 01,lesecretdespapilles@live.fr,http://www.lesecretdespapilles.fr,,,,,,non
LE MILLE SENTIERS,Activités sportives,      Lieu-dit Taillepied,      Lieu-dit Taillepied,72500,LAVERNAT,72160,47.717574,0.332085,02 53 67 01 97,,http://www.lemillesentiers.jimdo.com,,oui,non,Français,oui,oui
LE PADDOCK - PARC D’ACTIVITÉS NATURE,Centre équestre,L'Orbière      ,L'Orbière      ,53260,FORCE,53099,48.0304281,-0.7165867,06.16.13.19.40,lebois53@free.fr,http://www.lebois-mayenne.fr,,,,,,non
LE PETIT TRAIN DE SAINT GILLES CROIX DE VIE,Jeux pour enfants##Trains touristiques,       ,       ,85800,SAINT-GILLES-CROIX-DE-VIE,85222,46.697604,-1.9450562,02.51.54.54.04,contact@petits-trains-vendee.com,http://www.petits-trains-vendee.com,,,,,,non
LE MELTING' POTES,Bar à thème,15 avenue de Fougères      ,15 avenue de Fougères      ,53000,LAVAL,53130,48.0785146,-0.7669906,09 51 39 08 16,meltingpotesbar@gmail.com,,,,,,,non
LE MONDE DES P'TITS LOUPS,Jeux pour enfants,Rue de Bruxelles   Zone des Bozées  ,Rue de Bruxelles   Zone des Bozées  ,53000,LAVAL,53130,48.059184,-0.735501,02.43.56.99.37,mondedespetitsloups@sfr.fr,http://www.mondedespetitsloups.fr,,,,,,non
LE NID DU BIEN-ÊTRE,Balnéothérapie et Spa,"    4 bis boulevard de l'Abreuvoir Résidence ""La Gaudinais""","    4 bis boulevard de l'Abreuvoir Résidence ""La Gaudinais""",44350,GUERANDE,44069,47.32908,-2.43228,09 84 38 20 85,gaelle@leniddubienetre.fr,http://www.leniddubienetre.fr,,non,,,,non
LE PETIT TRAIN DE ST HILAIRE DE RIEZ,Trains touristiques,       ,       ,85270,SAINT-HILAIRE-DE-RIEZ,85226,46.720204,-1.945917,02.51.54.54.04,contact@petits-trains-vendee.com,http://petits-trains-vendee.com,,,,,,non
LE LIFE,Salle de spectacle,    Boulevard de la Légion d'Honneur Alvéole 14 - Base sous-marine,    Boulevard de la Légion d'Honneur Alvéole 14 - Base sous-marine,44600,SAINT-NAZAIRE,44184,47.2748664,-2.2038272,02 40 00 41 68,life@mairie-saintnazaire.fr,https://lelifesaintnazaire.wordpress.com/,,non,oui,,non,non
LE MANS DRIVER : ECOLE DE PILOTAGE AUTO ET MOTO ET BAPTEMES DE PISTE,Circuit automobile ou moto,      Circuit des 24 Heures,      Circuit des 24 Heures,72100,LE MANS,72181,47.9562418,0.2077425,02 43 40 24 30,lemansdriver@lemans.org,http://www.lemansdriver.fr,,,,,,non
LE LOUROUX PLAGE,Aire de pique-nique##Jeux pour enfants##Plage surveillée##Skatepark##Tennis##Terrain omnisports,  Etang du Petit Anjou Le Louroux-Béconnais  ,  Etang du Petit Anjou Le Louroux-Béconnais  ,49370,VAL D'ERDRE-AUXENCE,49183,47.5185977,-0.8765242,02 41 77 41 87,communication@val-erdre-auxence.fr,http://www.val-erdre-auxence.fr/,Aire de pique nique##Bar##Restaurant##Toilettes,oui,oui,Français,non,non
LE KIOSQUE,Salle de spectacle,7 place Juhel      ,7 place Juhel      ,53100,MAYENNE,53147,48.3061239,-0.620935,02 43 30 10 16,kiosque@kiosque-mayenne.org,http://www.kiosque-mayenne.org/,,,,,,oui
LES CACHALOTS DE L'HYRÔME ET DU LAYON,Activités sportives,       ,       ,49120,CHEMILLE-EN-ANJOU,49092,47.2100819,-0.7274078,02 41 30 67 29,,,,,,,,non
LE LABYRINTHE DE BOUGUENAIS,Labyrinthe##Parc à thèmes,Route de Pornic - sortie C5     Chemin des Réservoirs  ,Route de Pornic - sortie C5     Chemin des Réservoirs  ,44340,BOUGUENAIS,44020,47.1679577,-1.6501502,02.51.70.60.99,,,,,,,,non
LE LUDE EN IMAGES,Activités culturelles,    10 Boulevard de l'Hospice  ,    10 Boulevard de l'Hospice  ,72800,LE LUDE,72176,47.646481,0.157631,02.43.94.52.24,michelsylvette@aol.com,leludedantan.blog4ever.com,,oui,oui,,,non
LE PARCOBRANCHE - PARC D’ACTIVITÉS NATURE,Parcours dans les arbres,L'Orbière      ,L'Orbière      ,53260,FORCE,53099,48.0304281,-0.7165867,02.43.56.63.93,lebois53@free.fr,http://www.lebois-mayenne.fr,,,,,,non
LE QUEEN'S BAR,Bar à thème,23 rue de bretagne      ,23 rue de bretagne      ,53000,LAVAL,53130,48.0705497,-0.7791101,02 43 69 02 12,,,,,,,,non
LE MANÈGE DE LA PERRINE,Manège pour enfant,Jardin de la Perrine   Allée Adrien Bruneau  ,Jardin de la Perrine   Allée Adrien Bruneau  ,53000,LAVAL,53130,48.065177,-0.769042,06.08.95.06.77,,http://www.manege-de-la-perrine.fr/,,,,,,non
