"Nom de l'offre d'activité touristique","Type détaillé d'activité","Adresse partie 1: Porte/escalier","Adresse partie 1 suite","Adresse partie 2","Adresse partie 3","Code postal","Commune de l'activité","Cedex de l'adresse postale","Code Insee de la Commune","location","Latitude","Longitude","Situation de l'offre","Emplacement géographique","N° de téléphone mobile","N° de téléphone fixe","N° de fax","Adresse e-Mail","Url du site web","Type de plateforme/url","Services proposés sur l'équipement de loisir","Equipements présents sur le site de loisir","Animal accepté: oui / non","Complément information animal accepté","Labels","Label tourisme handicap","Groupe accepté: oui / non","Catégorie de la prestation fournie","Type formule itinérante","Activité sportive proposée","Type activité culturelle proposée","Langues parlées à l'accueil","Langues des audio guides","Visites libres proposées aux individuels en permanence: oui / non","Durée de visite pour les individuels","Visites guidées proposées aux individuels en permanence: oui / non","Visites guidées proposées aux individuels sur demande: oui / non","Langues des panneaux d'info","Langues parlées","Complément d'info sur les visites","Visites guidées proposées aux groupes en permanence: oui / non","Visites pédagogiques proposées aux groupes en permanence: oui / non","Visites guidées proposées aux groupes en permanence: oui / non","Visites guidées proposées aux groupes sur demande: oui / non","Durée de visite pour les groupes","Lieux de pratique de l'activité de loisirs","Commune de départ de la formule itinérante","Commune d'arrivée de la formule itinérante","Ouverture de l'offre toute l'année: oui / non","Horaires d'ouvertures","ResaDirecte","Centrale de réservation en ligne: oui / non","Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale","Tarifs","Tarif gratuit : oui / non","Modes de paiement acceptés"
"CINÉ-RENCONTRE : LE POTAGER DE MON GRAND PÈRE","","25 quai gambetta","","Cinéville de Laval","","53000","LAVAL","","53130","[ 48.0722068 , -0.7715374]","48.0722068","-0.7715374","","","","02.43.59.93.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CANOË-PLANÈTE ODYSSÉE 49","Base ou club nautique","","Plan d'eau de Freigné","","","49440","FREIGNE","","49144","[ 47.54848 , -1.124105]","47.54848","-1.124105","Route (nationale/départ.)||Rue Marie Lardeux - Près de l'étang||","","06 83 93 93 66","02 41 92 07 09","","planeteodysee49@gmail.com","http://www.anjoubleu.com","","","Aire de pique nique","non","","","","oui","","","","","Français","","","","","","","Français","","","","","","","","","","non","01/05/2017||31/10/2017||Selon le temps, possibilité de faire hors période mais sur réservation.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","Tarif indiv. adulte||||||Tarif à l'heure##Tarif indiv. enfant||||||Tarif à l'heure","non","Chèques bancaires et postaux"
"CHEMILLE-PETANQUE","Activités sportives","","Siège","194, rue Nationale","","49120","CHEMILLE-EN-ANJOU","","49092","[ 47.2081838 , -0.7297427]","47.2081838","-0.7297427","","","","02 41 30 46 82","","chemillepetanque@yahoo.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CENTRE EQUESTRE DE LA VALLEE","","","","La Vallée","","72230","PARIGNE LE POLIN","","","[ 47.8239548 , 0.112978]","47.8239548","0.112978","Route (nationale/départ.)||||3##Autoroute||||10##Gare SNCF||Le Mans||20","","","02.43.87.83.71","","","","","","Aire de pique nique##Salle de réunion équipée","oui","","","","oui","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CENTRE CULTUREL JEAN CARMET","Salle de spectacle","","","37 route de Nantes","","49610","MURS-ERIGNE","","49223","[ 47.40054 , -0.5429]","47.40054","-0.5429","","","","02 41 57 81 85","","centre.jean.carmet@ville-murs-erigne.fr","http://www.murs-erigne.fr/index.php?id=102","","","","","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","","","","","","","",""
"CHEMILLE SCRAP'","Activités culturelles","","Centre Social","5, rue de la Gabardière","","49120","CHEMILLE-EN-ANJOU","","49092","[ 47.2166732 , -0.7275263]","47.2166732","-0.7275263","","","","02 41 30 38 92","","dominouche@wanadoo.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CENTRE ECOLE DE VOL À VOILE DE LA MAYENNE","Aérodrome","570 route d'Angers","","Aérodrome de Beausoleil","","53000","LAVAL","","53130","[ 48.0364922 , -0.739968]","48.0364922","-0.739968","","","","06.30.08.20.12","","cevvm53@gmail.com","http://www.cevvm.fr/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chèques bancaires et postaux##Chèques Vacances"
"CENTRE DE BIEN ETRE ET DE SANTÉ","","","","4 avenue du Bois d'Amour","","44500","LA BAULE-ESCOUBLAC","","44055","[ 47.2881118 , -2.3848573]","47.2881118","-2.3848573","","","06 15 45 51 67","","","epatre62@gmail.com","","","","","non","","","","","","","","","","","","","","","","","","","","","","","","","","","01/01/2018||31/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Chèques bancaires et postaux"
"CANI-RANDO A MARCON","Formules itinérantes","","","","Courtemiche","72150","SAINT-VINCENT-DU-LOROUER","","72325","[ 47.7102669 , 0.509982]","47.7102669","0.509982","","","06 26 12 38 06","","","nordicsakha@gmail.com","http://www.nordic-sakha.com","","","","","","","","","Accompagnement","Pédestre","","","","","","","","","","","","","","","","","Parcours au départ des communes de Lhomme, Marçon et la Chartre sur le Loir","MARCON","MARCON","oui","","","","","Tarif indiv. enfant||8||37||8 €/h, 20 € 1/2 journée, 37 € journée accompagné d'un adulte##Tarif indiv. adulte||12||50||12 €/h, 30 € 1/2 journée, 50 € journée","",""
"CENTRE NATIONAL DE DANSE CONTEMPORAINE","","","","17, rue de la Tannerie","","49101","ANGERS","02","49007","[ 47.47296 , -0.565]","47.47296","-0.565","","","","0244012266","0244012277","contact@cndc.fr","http://www.cndc.fr","Facebook||http://www.facebook.com/cndc.angers","","","","","","","","","","","","Anglais##Français","","","","","","","","","","","","","","","","","","","","","","","",""
"CENTRE EQUESTRE DE LAVAL","Centre équestre","Bois de l'Huisserie","","","","53000","LAVAL","","53130","[ 48.041213 , -0.783141]","48.041213","-0.783141","","","","02.43.02.90.13","","centre.equestre.laval@wanadoo.fr","http://www.celaval.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CANOË KAYAK PRESQU'ILE CÔTE D'AMOUR","Base ou club nautique","","","Port d'échouage","Boulevard des Océanides","44380","PORNICHET","","44132","[ 47.26504 , -2.34472]","47.26504","-2.34472","","","06 60 74 40 83","02 40 53 67 45","","ckpca@free.fr","http://www.ckpca.fr","","","","","","","","","","","","","Anglais","","","","","","","","","","","","","","","","","","01/04/2017||05/11/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Chèques bancaires et postaux"
"CANI-RANDO A LHOMME / RUILLE SUR LOIR","Formules itinérantes","","","","Courtemiche","72150","SAINT-VINCENT-DU-LOROUER","","72325","[ 47.743769 , 0.55616099]","47.743769","0.55616099","","","06 26 12 38 06","","","nordicsakha@gmail.com","http://www.nordic-sakha.com","","","","","","","","","Accompagnement","Pédestre","","","","","","","","","","","","","","","","","Parcours au départ des communes de Lhomme, Marçon et la Chartre sur le Loir","LHOMME","LHOMME","oui","","","","","Tarif indiv. enfant||8||37||8 €/h, 20 € 1/2 journée, 37 € journée accompagné d'un adulte##Tarif indiv. adulte||12||50||12 €/h, 30 € 1/2 journée, 50 € journée","",""
"CENTRE EQUESTRE DU MANOIR","Centre équestre","","","","La Batarderie","44310","SAINT-PHILBERT-DE-GRAND-LIEU","","44188","[ 47.045083 , -1.5991979]","47.045083","-1.5991979","","","","02 40 78 85 67","","","www.ecuriesdumanoir.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Centre Equestre des Charmes","Centre équestre","","Les Arnaudines","","","85320","SAINTE-PEXINE","","85261","[ 46.561507 , -1.140361]","46.561507","-1.140361","","","06 81 08 59 85","02 51 27 59 65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","non",""
"CENTRE TOUT TERRAIN DES ALPES MANCELLES - ECOLE DE PILOTAGE 4*4","Activités sportives","","","La Forge Collet","","72130","SAINT-LEONARD-DES-BOIS","","72294","[ 48.3548677 , -0.080437]","48.3548677","-0.080437","Route (nationale/départ.)||D338 Alençon Le Mans||20##Autoroute||A28 sortie 20 rouesse fontaine||23##Gare SNCF||Alençon||20##Transport en commun||TIS ligne 4||6","En extérieur ombragé##En extérieur soleil##A l'abri","06 09 71 04 26","02 43 33 79 13","","ph.simonin@wanadoo.fr","http://www.simonin4x4.com","","","","non","","","","oui","Cours","","4 x 4","","Français","","","","","","","","","","","","","","saint léonard des bois","ST LEONARD DES BOIS","ST LEONARD DES BOIS","oui","01/01/2017||31/12/2017||ouvert toute l'année sur réservation seulement||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","non","||||||02 43 33 79 13||ph.simonin@wanadoo.fr","||260||||STAGE ou cours particulier de 4X4, 1/2 journée, journée, 2 jours avec son véhicule ou possibilité d'en louer.##||||||BAPTEME 4X4 - STAGE 4X4 2 jours","non","Chèques bancaires et postaux"
"CENTRE AQUATIQUE PHARÉO - BEAUFORT EN ANJOU","Piscine","","","Rue des Esquisseaux","Beaufort en Vallée","49250","BEAUFORT-EN-ANJOU","","49021","[ 47.44106 , -0.23763]","47.44106","-0.23763","","","","09 71 00 49 49","","infos@phareo-beaufortenanjou.fr","http://phareo-beaufortenanjou.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CENTRE EQUESTRE LE ROC AU LOUP","Centre équestre","","","","","53240","ANDOUILLE","","53005","[ 48.1767708 , -0.7841706]","48.1767708","-0.7841706","Gare SNCF||LAVAL||15","","06 23 56 41 39","02 43 91 50 50","","le.roc.au.loup@wanadoo.fr","http://lerocauloup.fr/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARROUSEL PALACE 1900","Manège pour enfant","","","1 Promenade du Maréchal Joffre","(près de la piscine du remblai)","85100","LES SABLES-D'OLONNE","","85194","[ 46.494156 , -1.791731]","46.494156","-1.791731","","","06 07 79 43 64","","","manegesellier@orange.fr","","","","","non","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","",""
"CANI-RANDO A LA CHARTRE SUR LE LOIR","Formules itinérantes","","","","Courtemiche","72150","SAINT-VINCENT-DU-LOROUER","","72325","[ 47.728568 , 0.57141599]","47.728568","0.57141599","","","06 26 12 38 06","","","nordicsakha@gmail.com","http://www.nordic-sakha.com","","","","","","","","","Accompagnement","Pédestre","","","","","","","","","","","","","","","","","Parcours au départ des communes de Lhomme, Marçon et la Chartre sur le Loir","LA CHARTRE SUR LE LOIR","LA CHARTRE SUR LE LOIR","oui","","","","","Tarif indiv. enfant||8||37||8 €/h, 20 € 1/2 journée, 37 € journée accompagné d'un adulte##Tarif indiv. adulte||12||50||12 €/h, 30 € 1/2 journée, 50 € journée","",""
"CARRÉ D'ARGENT","","","","Rue du Port du Four","","44160","PONTCHATEAU","","44129","[ 47.4376 , -2.09081]","47.4376","-2.09081","","","","02 40 01 61 01","","billetteriecap@pontchateau.fr","http://www.pontchateau.fr/saison_carre_dargent_pontchateau.asp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","","Cartes bancaires##Chèques bancaires et postaux"
"CENTRE DE PECHE ET DE PISCICULTURE MONTJEAN","Lac de pêche","","","","","53320","MONTJEAN","","53158","[ 48.005702 , -0.959734]","48.005702","-0.959734","Gare SNCF||LAVAL||16","","","02 43 68 90 52","","jcgandon@wanadoo.fr","http://mayennepeche.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","non",""
"CENTRE DE CULTURE ET DE LOISIRS LA CLOSERIE","Cinéma","","","Route de Méron","","49260","MONTREUIL-BELLAY","","49215","[ 47.13124 , -0.13328]","47.13124","-0.13328","","","","02 41 40 17 60","","billetterie.montreuil@agglo-saumur.fr","http://www.ville-montreuil-bellay.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CENTRE CULTUREL ATHANOR","Base ou club nautique","","","2 avenue Anne de Bretagne","CS 85219","44352","GUERANDE","CEDEX","44069","[ 47.33014 , -2.42411]","47.33014","-2.42411","","","","02 40 24 73 73","","athanor@ville-guerande.fr","http://www.ville-guerande.fr/sortir/programmation-culturelle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","",""
"CINEMA LE CONNETABLE","Cinéma","","","1 cours des Marches de Bretagne","Ecoquartier du Champs de Foire","44190","CLISSON","","44043","[ 47.0864509 , -1.280468]","47.0864509","-1.280468","","","","02 40 54 01 49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CALÈCHE NATURE AVENTURE","Calèche","","","Route de Trégaté (D774)","Village de Kervalet","44740","BATZ-SUR-MER","","44010","[ 47.2798709 , -2.4581081]","47.2798709","-2.4581081","","","","06 74 66 59 74","","calechenatureaventure@gmail.com","http://https://www.facebook.com/calechenatureaventure/?fref=ts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01/01/2017||31/12/2017||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Chèques bancaires et postaux"
"CENTRE SOCIO-CULTUREL DU TALMONDAIS","Observatoire","","","292 rue du Chai","","85440","TALMONT-SAINT-HILAIRE","","85288","[ 46.4722885 , -1.604467]","46.4722885","-1.604467","","","","02 51 96 02 76","","ccttalmont@gmail.com","http://www.centresociocultureltalmondais.fr/","","","","oui","","Famille Plus","","oui","","","","","Anglais##Français##Russe","","non","2h00","oui","non","","Français##Anglais##Russe","Pour les groupes sur réservation.","non","oui","","oui","","","","","oui","","||02 51 96 02 76||hervecct@club-internet.fr","","","","non","Chèques Vacances"
"CARPE DIEM","Activités culturelles","","Théâtre de l'Atelier","29, rue de la Source","","49120","CHEMILLE-EN-ANJOU","","49092","[ 47.2140171 , -0.7289694]","47.2140171","-0.7289694","","","","02 41 30 14 13","","carpediem.chemillé@gmail.fr","","","","","","","","","","","","","Théâtre","","","","","","","","","","","","","","","Atelier de la Source;29 rue de la Source","","","","","","","","","non",""
"CENTRE ÉQUESTRE DE SAUVETERRE","Centre équestre","","","rue des Rochers","","85340","OLONNE-SUR-MER","","85166","[ 46.551443 , -1.810939]","46.551443","-1.810939","","","","02 51 90 76 96","","","","Tripadvisor||","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","",""
"CENTRE AQUATIQUE CANAL FORÊT","Piscine","10 boulevard de Bretagne","","","","44130","BLAIN","","44015","[ 47.481167 , -1.768454]","47.481167","-1.768454","","","","02 28 05 39 01","","","http://www.piscine-canal-foret.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","non",""
"CAP FORM KARTING","Karting","64 rue Henri Batard","","","","53000","LAVAL","","53130","[ 48.0731915 , -0.7994283]","48.0731915","-0.7994283","","","","02.43.02.89.89","","cap-form@orange.fr","http://www.capform-53.fr/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CENTRE EQUESTRE DU PIN EN MAUGES","","","","11, rue des Tilleuls","","49110","BEAUPREAU-EN-MAUGES","","49023","[ 47.252289 , -0.902755]","47.252289","-0.902755","","","","06.11.55.68.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAP SUR LES CROISIÈRES 2017 - VALLIS GUIDONIS","","100 rue du Vieux St Louis","","Halte fluviale","","53000","LAVAL","","53130","[ 48.075311 , -0.7711787]","48.075311","-0.7711787","","","","02.43.49.45.26","","office.tourisme@agglo-laval.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances"
"CANO'EVASION & AQUAKARTS","Activités sportives","","","La Servantière","","85220","LANDEVIEILLE","","85120","[ 46.65795 , -1.768627]","46.65795","-1.768627","","","06 67 09 80 62","","","paintball85@hotmail.fr","http://www.canoevasion.fr","","","","","","","","","","","Canoé kayak","","","","","","","","","","","","","","","","","","","non","02/04/2018||16/09/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","non",""
"CANOË-KAYAK LAVAL","Base ou club nautique","181 Rue Filature","","","","53000","LAVAL","","53130","[ 48.0866368 , -0.7722653]","48.0866368","-0.7722653","","","","02.43.67.03.27","","cklaval@hotmail.com","http://www.cklaval.fr/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAPUCINE ARTISANAT - EXPOSITION/VENTE/ATELIERS","","","","","","85330","NOIRMOUTIER-EN-L'ILE","","85163","[ 47.02414 , -2.25163]","47.02414","-2.25163","","","","","","capucine.artisanat@gmail.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22/05/2017||18/09/2017||||||10:30||13:00||15:30||19:30||10:30||13:00||15:30||19:30||10:30||13:00||15:30||19:30||10:30||13:00||15:30||19:30||10:30||13:00||15:30||19:30||10:30||13:00||15:30||19:30||10:30||13:00||15:30||19:30","","","","","",""
"CAP PÊCHE ET NATURE","Activités sportives","","","","","85750","ANGLES","","85004","[ 46.408491 , -1.403055]","46.408491","-1.403055","","","06 75 85 56 43","","","sebastien.palier@free.fr","http://www.cap-peche-et-nature.fr","","","","","","","","","Accompagnement","","Pêche","","","","","","","","","","","","","","","","Pêche sur le marais poitevin ou en bord de mer","ANGLES","ANGLES","oui","","","","","","",""
"CALE DU QUAI L'HERMINIER","Cale de mise à l'eau","","","Corniche de Gourmalon","Quai du Commandant l'Herminier","44210","PORNIC","","44131","[ 47.1138 , -2.10266]","47.1138","-2.10266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRIQUE & BUS","Activités culturelles","","","","Les Veaux","49330","LES HAUTS D'ANJOU","","49065","[ 47.72555 , -0.4660189]","47.72555","-0.4660189","","","06 03 47 39 10","","","","http://www.briquebus.fr/","","","","","","","","","Stage d’initiation","","","Céramique","Français","","","","","","","","","","","","","","","LES HAUTS D'ANJOU","LES HAUTS D'ANJOU","oui","01/01/2018||31/12/2018||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","non","Chèques bancaires et postaux"
"CALE DU PRÉ-VINCENT","Cale de mise à l'eau","","","Rue du Sauvetage","Plage du Pré Vincent","44760","LES MOUTIERS-EN-RETZ","","44106","[ 47.06264 , -2.00677]","47.06264","-2.00677","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BRETEAM SURF CLUB","Activités sportives","","","","","85470","BRETIGNOLLES-SUR-MER","","85035","[ 46.6074642 , -1.8537177]","46.6074642","-1.8537177","","","07 61 13 02 93","","","breteam@gmail.com","https://www.breteam.fr/","Facebook||https://www.facebook.com/breteam/","","","oui","","","","non","Stage de perfectionnement","","Surf","","Anglais","","","","","","","","","","","","","","Plages des Dunes;85470 Bretignolles sur mer","","","non","01/04/2018||30/11/2018||||Fermé en juillet et août.||||||||||||||||||||||||||||||||||||||||||||||||||||||||","","","","","","Chèques bancaires et postaux"
"CENTRE ÉQUESTRE ""LE HARAS DU FIEF""","Centre équestre","","Domaine des Guifettes","Route du Communal","","85400","LUCON","","85128","[ 46.4333847 , -1.1861202]","46.4333847","-1.1861202","","","06 59 81 66 19","","","francois.imbert@bbox.fr","https://centreequestredesguifettes85.ffe.com/","","","Toilettes","oui","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","non",""
"CENTRE ÉQUESTRE DE L'ERDRE","Activités sportives","","","La courosserie","","44810","HERIC","","44073","[ 47.4125449 , -1.6698825]","47.4125449","-1.6698825","","","06 11 75 29 38","","","denis.deplagne@wanadoo.fr","http://www.cedelerdre.ffe.com/?cs=3052021278a879fb08f316cfadc0b58ef30d5c622390f134b8d7330b5ab859f093ceff8b2da3a7415474378a2d8d12fc","","","","non","","","","oui","Cours","","Equitation","","Français","","","","","","","","","","","","","","","HERIC","","oui","","","","","","",""
"CALE DU PORTMAIN","Cale de mise à l'eau","","","PLAGE DU PORTMAIN","Sainte Marie sur Mer","44210","PORNIC","","44131","[ 47.11818 , -2.16559]","47.11818","-2.16559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CALE DU DR DINET","Cale de mise à l'eau","","","Avenue du Dr Dinet","","44760","LES MOUTIERS-EN-RETZ","","44106","[ 47.05762 , -2.00151]","47.05762","-2.00151","","","","","","","","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CALES DU PORT DU COLLET","Cale de mise à l'eau","","","Quai Jean Mounès","Port du Collet","44760","LES MOUTIERS-EN-RETZ","","44106","[ 47.02902 , -1.97601]","47.02902","-1.97601","","","06 12 16 13 09","02 51 74 56 09","","portducolletsah@gmail.com","","","","Aire de pique nique##Bar##Restaurant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CALE DES FRESCHES","Cale de mise à l'eau","","","Rue des Fresches","","44760","LES MOUTIERS-EN-RETZ","","44106","[ 47.06375 , -2.01092]","47.06375","-2.01092","","","","","","","","","","Aire de pique nique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CALE DU CHATEAU","Cale de mise à l'eau","","","PLAGE DU CHATEAU","Accès par le parking du Château","44210","PORNIC","","44131","[ 47.11255 , -2.10654]","47.11255","-2.10654","","","","","","","","","","Bar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CANALOUS PLAISANCE","Formules itinérantes","","","quai Amiral Lalande","","72000","LE MANS","","72181","[ 48.0017417 , 0.18928343]","48.0017417","0.18928343","","","","","","","","","","","oui","","","","oui","Location de matériel","Croisières fluviales","","","Allemand##Anglais##Espagnol##Français","","","","","","","","","","","","","","","LE MANS","","oui","","","","","","",""
"CALE DE MISE À L'EAU LA GAMOTRIE","Cale de mise à l'eau","","","La Gamotrie","","44240","SUCE-SUR-ERDRE","","44201","[ 47.377251 , -1.4992609]","47.377251","-1.4992609","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"CALE DE MISE À L'EAU","Cale de mise à l'eau","","","Place du Port","","85460","L'AIGUILLON-SUR-MER","","85001","[ 46.3349845 , -1.3152417]","46.3349845","-1.3152417","","","06 76 97 29 33","02 51 56 40 31","","","","","","","","","","","","","","","","Français","","","","","","","","","","","","","","","","","oui","","","","","","non",""
"BATEAU PROMENADE LA LIGÉRIADE II","Bateaux promenade","","","Quai des Mariniers","MONTJEAN-SUR-LOIRE","49570","MAUGES-SUR-LOIRE","","49244","[ 47.3925329 , -0.8615936]","47.3925329","-0.8615936","Route (nationale/départ.)||RD723||3##Autoroute||A11 sortie n°19||10##Gare SNCF||Champtocé sur Loire||3##Gare routière||ligne n°6||0,4","","","02 41 39 07 07","","montjeansurloire@uneautreloire.fr","http://www.bateau-ligeriade-loire.fr/","Facebook||https://www.facebook.com/ligeriadeII##Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g1108709-d11728897-Reviews-La_Ligeriade_II-Montjean_sur_Loire_Maine_et_Loire_Pays_de_la_Loire.html","","","oui","doivent être tenus en laisse","","","oui","","","","","Anglais","","non","1h","oui","oui","","Français","","non","oui","oui","oui","1h15","","","","non","15/04/2017||30/04/2017||Ouvert sur RDV pour les groupes du lundi au dimanche. (25 personnes)||||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00##01/05/2017||30/06/2017||Ouvert sur RDV pour les groupes du lundi au dimanche. (25 personnes)||||||||||||||||||||||||||||||||||||||||||||||||||||||||16:00||17:00##01/07/2017||31/08/2017||Ouvert sur RDV pour les groupes du lundi au dimanche. (25 personnes)||||||||16:00||||||||16:00||||||||16:00||||||||16:00||||||||16:00||||||||16:00||||15:30||16:30||17:00||18:00##03/09/2017||30/09/2017||Ouvert sur RDV pour les groupes du lundi au dimanche. (25 personnes)||||||||||||||||||||||||||||||||||||||||||||||||||||||||16:00||17:00##01/10/2017||30/11/2017||Ouvert sur RDV pour les groupes du lundi au dimanche. (25 personnes)||||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00##15/04/2018||30/04/2018||Ouvert sur RDV pour les groupes du lundi au dimanche. (25 personnes)||||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00##01/05/2018||30/06/2018||Ouvert sur RDV pour les groupes du lundi au dimanche. (25 personnes)||||||||||||||||||||||||||||||||||||||||||||||||||||||||16:00||17:00##01/07/2018||31/08/2018||Ouvert sur RDV pour les groupes du lundi au dimanche. (25 personnes)||||||||16:00||||||||16:00||||||||16:00||||||||16:00||||||||16:00||||||||16:00||||15:30||16:30||17:00||18:00##03/09/2018||30/09/2018||Ouvert sur RDV pour les groupes du lundi au dimanche. (25 personnes)||||||||||||||||||||||||||||||||||||||||||||||||||||||||16:00||17:00##01/10/2018||30/11/2018||Ouvert sur RDV pour les groupes du lundi au dimanche. (25 personnes)||||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00","","oui","||http://www.uneautreloire.fr/page/acheter-en-ligne?t=fp&fp=88||http://www.uneautreloire.fr/page/acheter-en-ligne?t=fp&fp=88||02 41 39 07 07||","Tarif indiv. enfant||6||6||##Tarif indiv. adulte||12,5||12,5||","non","Chèques bancaires et postaux"
"CALE DE MISE À L'EAU LA POUPINIÈRE","Cale de mise à l'eau","","","La Poupinière","","44390","NORT-SUR-ERDRE","","44110","[ 47.4025246 , -1.4956426]","47.4025246","-1.4956426","","","","02 51 12 00 70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","oui","","","","","","oui",""
"BOWLING BOWLPLEX","Bowling","","","2, rue du Vieux Château","","85600","BOUFFERE","","85027","[ 46.9652165 , -1.3366543]","46.9652165","-1.3366543","","A l'abri","","02 51 31 45 08","","","","","Espace jeux","Bar##Toilettes","non","","","","oui","","","","","Français","","","","","","","","","","","","","","","","","oui","01/01/2017||31/12/2017||Hors vacances scolaires||||||||||||||||||||||||14:00||20:00||||||16:00||01:00||||||16:00||02:00||||||14:00||02:00||||||14:00||21:00##01/01/2017||31/12/2017||Pendant les vacances scolaires||||||||14:00||21:00||||||14:00||21:00||||||14:00||23:00||||||14:00||01:00||||||14:00||02:00||||||14:00||02:00||||||14:00||23:00","","","","","non","Cartes bancaires##Chèques bancaires et postaux"
